time;life;love;night;home;men;wife;tv;baby;work;family;honey;god;father;promise;trust;hell;heart;mom;babe;Gender
6;7;8;4;5;1;10;8;5;9;8;7;8;1;8;7;6;8;8;8;Female
7;6;8;7;9;3;9;3;2;2;8;2;9;6;8;8;2;7;8;1;Male
6;6;8;6;8;8;3;5;9;5;6;7;5;6;6;8;5;6;5;6;Female
3;6;10;5;8;10;1;6;1;2;5;7;5;5;8;8;6;10;5;1;Male
4;5;9;5;8;5;2;6;8;5;5;8;5;4;7;8;4;9;8;3;Female
5;8;8;3;9;8;3;5;9;4;7;8;6;5;7;8;7;9;9;4;Female
9;9;10;9;8;10;1;8;9;5;10;10;8;8;10;9;6;10;10;1;Female
4;5;7;4;8;8;2;6;9;4;8;5;5;5;7;8;5;9;5;2;Male
7;5;7;5;6;6;1;5;8;6;6;7;3;6;8;8;3;8;8;2;Male
5;6;6;4;8;8;2;6;8;4;8;8;7;7;9;7;5;8;7;3;Female
