StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q22,Q16,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q14,Q17,Q15,Q16,Q19,Q20,Q21,Q22,Q23,Q20,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,time,life,love,night,home,men,wife,tv,baby,work,family,honey,god,father,promise,trust,hell,heart,mom,babe,What is your gender?,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID27""}","{""ImportId"":""QID19""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID26""}","{""ImportId"":""mTurkCode""}"
2018-02-06 21:46:47,2018-02-06 21:47:33,IP Address,192.119.160.23,100,45,True,2018-02-06 21:47:33,R_1eRGCFZjwo5HXGH,,,,,44.746795654297,-93.202102661133,anonymous,EN,6,7,8,4,5,"1 ""Mostly men""","10 ""Mostly women""",8,5,9,8,7,8,"1 ""Mostly men""",8,7,6,8,8,8,Female,4148933
2018-02-06 21:47:50,2018-02-06 21:49:24,IP Address,104.240.178.34,100,94,True,2018-02-06 21:49:24,R_2D0kNtgfapuWN1Q,,,,,39.592895507812,-82.89119720459,anonymous,EN,7,6,8,7,9,3,9,3,2,2,8,2,9,6,8,8,2,7,8,"1 ""Mostly men""",Male,630559
2018-02-06 21:48:29,2018-02-06 21:50:43,IP Address,67.253.21.12,100,134,True,2018-02-06 21:50:44,R_2uvcDmyTlqdvzXP,,,,,44.127197265625,-69.133598327637,anonymous,EN,6,6,8,6,8,8,3,5,9,5,6,7,5,6,6,8,5,6,5,6,Female,3855833
2018-02-06 21:49:23,2018-02-06 21:50:57,IP Address,108.17.83.59,100,93,True,2018-02-06 21:50:57,R_33dJjcchYtOGU7e,,,,,40.460494995117,-80.285797119141,anonymous,EN,3,6,"10 ""Mostly women""",5,8,"10 ""Mostly women""","1 ""Mostly men""",6,"1 ""Mostly men""",2,5,7,5,5,8,8,6,"10 ""Mostly women""",5,"1 ""Mostly men""",Male,9091263
2018-02-06 21:56:48,2018-02-06 21:58:50,IP Address,24.47.101.45,100,122,True,2018-02-06 21:58:51,R_yOLJWeaPfN14yAh,,,,,41.078002929688,-74.176399230957,anonymous,EN,4,5,9,5,8,5,2,6,8,5,5,8,5,4,7,8,4,9,8,3,Female,8967653
2018-02-06 22:27:38,2018-02-06 22:30:13,IP Address,98.212.80.5,100,155,True,2018-02-06 22:30:14,R_1gj7em8CGnggwc1,,,,,41.383193969727,-89.146102905273,anonymous,EN,5,8,8,3,9,8,3,5,9,4,7,8,6,5,7,8,7,9,9,4,Female,1204367
2018-02-06 22:41:24,2018-02-06 22:43:03,IP Address,70.124.208.28,100,98,True,2018-02-06 22:43:04,R_3femCtyJAZAMDEO,,,,,30.102798461914,-94.174003601074,anonymous,EN,9,9,"10 ""Mostly women""",9,8,"10 ""Mostly women""","1 ""Mostly men""",8,9,5,"10 ""Mostly women""","10 ""Mostly women""",8,8,"10 ""Mostly women""",9,6,"10 ""Mostly women""","10 ""Mostly women""","1 ""Mostly men""",Female,3765190
2018-02-06 22:57:53,2018-02-06 23:00:10,IP Address,192.77.184.82,100,137,True,2018-02-06 23:00:10,R_1LVSKkpQSSg4JcB,,,,,43.074401855469,-75.211700439453,anonymous,EN,4,5,7,4,8,8,2,6,9,4,8,5,5,5,7,8,5,9,5,2,Male,8176397
2018-02-06 23:02:01,2018-02-06 23:04:08,IP Address,23.125.192.243,100,126,True,2018-02-06 23:04:08,R_2c8DKuZg2LcNEZi,,,,,35.506393432617,-81.037101745605,anonymous,EN,7,5,7,5,6,6,"1 ""Mostly men""",5,8,6,6,7,3,6,8,8,3,8,8,2,Male,1652436
2018-02-06 23:16:00,2018-02-06 23:19:25,IP Address,196.196.232.6,100,205,True,2018-02-06 23:19:26,R_BrMSTCMkXKm84lr,,,,,34.043792724609,-118.25120544434,anonymous,EN,5,6,6,4,8,8,2,6,8,4,8,8,7,7,9,7,5,8,7,3,Female,1518139
