"","Statement","topic","wordcount","charcount"
"1"," I also think get the immigrants jobs as soon as possible, teach them the language. Cheaper Norwegian classes. Apprenticeship. Better access to more opportunities. Integration at school. How to do it I have no clue, though.","Immigration",37,225
"2"," I dont necessarily believe everyone will get out of here. I believe many will, but I think many will figure out that crime is an alternative. To commit crime in Norway is maybe not as bad as in the country they came from.","Immigration",44,225
"3"," Regarding immigration, there will be more. We cant do anything about that. When they come here its not by choice. They have a reason, but what I am mostly worried about are the extreme right-wings like we see in Sweden.","Immigration",41,225
"4"," Yeah.  Just to maintain skills.  You spend 15 years training somebody up and theyre in charge of a team, and its successful, then you dont want them to leave, do you?  Whos going to benefit from it?  So, the employer.","Gender",41,225
"5"," Thats the question, though. We dont have minimum wages in Norway, so it is the union that negotiates wages for their members and non-members who work with the same, to a degree. I dont have much insight into union work.","Gender",41,225
"6"," Always gender/common sense?16:10 involved in such decisions. What to emphasise? What happens all the time, right? One always has to hide behind that, be better that way, or specifically have more experience in that field.","Gender",36,225
"7"," What about working from home, then? You couldnt work from home in all professions, like nurses cant work from home. But in banking you can sit with your laptop, right. One has to stay updated and participate, but still.","Gender",40,225
"8","  But it's also about knowing what your priorities are. Is your priority your child or your job? If you intend to work until 9 pm every day, if that is the case, then there will be deprivation when it comes to up-bringing.","Gender",43,225
"9","  Like I was saying, the larger companies could certainly provide this. The ones that could, would get benefits, tax relief, all of it, all of it, all of it, medium and small companies, well, here, its a bit questionable.","Gender",40,225
"10"," I dont think its so much less for the young because theyre offering an apprenticeship, someones teaching them something. I think if you bring the younger generation then at 18/19 theyve got that experience","Generations",35,225
"11","But I think that Pia has a point in that if you have a lot of money then you should start by spending that. But of course you should then get your old-age pension once you've exhausted your resources and there's nothing left.","Generations",43,225
"12"," I believe that is one of our advantages in Norway, that we have higher education, and we might not be the cabin crew of the future, but the future that creates CEOnot CEO, but efficient solutions within aircraft, though.","Labour market",40,225
"13"," But all these payments the state collects for pension, you can take in that money, and then you have more in the fund. People would rather go spend money at Media Markt than invest money in retirement. Thats the problem.","Labour market",41,225
"14","  It's a fact that most employers hire through agencies. At least our company, we don't hire people by going to the Employment agency, requesting such and such occupational profile, we simply hire a private agency instead.","Labour market",37,225
"15"," I think things like university costing so much and individuals working full-time and not being able to go to uni when they quite easily be earning in that higher tax bracket and theyre not given the opportunity to do so.","Econ. Inequality",41,226
"16"," You cant have this incentive for parents to send their children to private school, because they believe they will get a better education there. Rather, they should be convinced that the public schools can also offer this.","Econ. Inequality",38,226
"17"," Or that a large firm suddenly says theyre moving to Ireland  many of them did that, even if it was only that they moved their headquarters there, because then they pay less in taxes. We still have this to a major extent.","Econ. Inequality",44,226
"18","  There's another problem, we are small. We are required to have the same military forces, the same equipment, as a country of let's say 60 million people. And we only have 2 million. And we still have to finance all of it.","Econ. Inequality",43,226
"19"," People are coming in and the UK has open doors for everybody, whoever wants to come here they just come in and thats about it. EU national   how many","Immigration",40,226
"20"," I think we should expect more migration in general and not be surprised, because were coming into a time of climate change, and as the environment changes, certain people will be displaced and need to live somewhere else.","Immigration",39,226
"21","  Then theyll all need support and social transfers, we should prevent that, to have as few of those that assimilate on social transfers as possible, that theyll contribute something to the society, a certain added value.","Immigration",37,226
"22"," Well, its two-sided . My wife and I, we both work 12 hours a day, and whoever gets home first makes dinner  I do it, she does it, she does laundry or however it works out. We both share the duties.","Gender",44,226
"23"," you know, what plans youve got for the future. I mean, Im 32 but by the time Im 50, I want my mortgage to be paid and things like that, so I think if you set yourself up properly, then when you do come to that 65, 70","Generations",49,226
"24"," If you think our youth have problems, imagine getting the immigrants who have been to war and come and work here. The ones who are really well off struggle, and the ones who suffer should feel even better? The logic fails.","Generations",42,226
"25","  State supervision. The ministry of labour and family should have the inspectors on field, who would be checking things, just as we mentioned on the subject of schools. Do any inspectors actually check schools? Which ones?","Generations",37,226
"26","  Thats right, after all, everything, because old age is more like, when you... I dont know, that time should be a bit more fulfilled, they dont have to worry about certain things, but could find themselves in something.","Generations",39,226
"27","  And youd want to live at home longer. Now, if you have high-quality home care, and affordable, subsidized, you can still be handicapped and you are able to live at home. Even if you cant cook for yourself or live alone.","Generations",42,226
"28","  I disagree with you, because were talking about 20, 25 years in the future, how it will be if the minimum wage is such and such, there are no jobs, how will they create these if they dont have it, currently no one does.","Generations",45,226
"29","  That means getting more people involved, so that they can be told what is good and what isn't, rather than for them to hear something and then those who try to actually do something are forced to give up and go elsewhere.","Labour market",43,226
"30","  To expand, with the help of job requirements, I don't know, economic activities with the experts we already have, in order to have new workforce available, so that we are able to guide, in order to have less unemployment.","Labour market",40,226
"31","  The agency does have an income, everybody receiving a pay check pays tax to the state, which means that the tax is collected automatically , not from those registered at the agency, and that is where the money comes from.","Labour market",41,226
"32","  Look, but, we would, we would still be working. Those who get 500 EURO a month do spend. They pay the electricity bill, the water bill, pay for things and something flows back into the state cash register that way as well.","Econ. Inequality",43,227
"33","  But its very important why the employers give minimum wages, because they see on the tax table that if they gave higher wages, theyd also have to pay higher taxes on all other costs. So the tax table needs to be changed.","Econ. Inequality",43,227
"34"," Yeah - there are two differences, the people who are trying to get away from war and then you've got the economic refugees who haven't really got a reason for leaving where they live except they want to get some more money.","Immigration",43,227
"35"," I guess thats what I thought about too. How to integrate everyone in society, but I dont either have a measure yet. But like we talked about earlier that everyone has to go to nursery school, that is a measure for example.","Immigration",43,227
"36"," Maybe just better or optimized recognition of their experience, because we have laws that are supposed to regulate that and which have helped out some of those people, but I dont know why it hasnt been implemented faster.","Immigration",39,227
"37"," This might sound a bit dumb, but you have to distinguish between those who are coming for economic reasons because its a banana republic, and those who are actually from refugee areas. And this assessment is not happening.","Immigration",39,227
"38"," But children are not the problem, its us. When I see statistics on TV about the acceptance of people, 57% of people are against this whole idea. So that means when I talk to my children, theyre hearing this stuff from me.","Immigration",43,227
"39","  If for example you bring a scientist here, the kind of scientist who could not be educated here or whose education would be too pricey, let's say, it is probably cheaper to import such a worker, if there is a need for one.","Immigration",44,227
"40","No, that would be boring. But as a male teacher in a female-dominated field, there are some rules with regard to abuse. You're never alone with a female student for example. But those rules have been put in place to protect me.","Gender",42,227
"41"," ...if they're not academic. The rationale behind that is, obviously, leave space, there's less disruption in the classrooms, so the kids that are academic can concentrate, because quite often, these children are disruptive.","Labour market",34,227
"42","It takes so long to get a disability pension that what you're saying is beside the point, and there's also a limit to how many can be granted disability pension each year. That's why there are so many people on social security.","Labour market",42,227
"43","  And the businesses or companies are faced with the problem of having to pay the expense. They can, the agency can get a worker straight away, because they have workers available, but businesses have to pay for the service.","Labour market",40,227
"44","  Or they work according to guidelines that were in effect 20, 30 years ago, that are now completely useless. I think that here, we could put paying back the costs of education in case you dont finish in a certain period...","Labour market",42,227
"45"," Child benefit should just go back to when you used to, when it first started that they usually just get for the one child, that's it and now you get ready for the two children.  If you did that with .","Econ. Inequality",44,228
"46"," Yes, but its not on about Amazon and stuff like that its on about Joe Blogs the plumber whos got four or five staff who hes got to spend an extra thousand pound a month on wages that he cant .","Econ. Inequality",44,228
"47"," And with regard to teachers, there are some whove failed in their studies and are allowed to work as teachers anyway because of the lack of teachers. I was shocked to find this out from friends of mine who work as teachers.","Econ. Inequality",43,228
"48","There's no need for a time-frame if you've paid 2 million in tax over two years. Then you're entitled to social security because to me that means you've contributed. And the person doesn't want to be on social security, do they?","Immigration",41,228
"49"," What if you had to paynot privatise schools, it's a free education, what if you had to make a contribution towards that, so you send your kid to school no matter how much you earn then you pay <a3>25 for them to go to school?","Gender",46,228
"50"," Recognition of childrearing or something like that. I would call it family management at home, because when you have four children and three days of work per week, but you have to manage a sort of family business in a sense.","Gender",42,228
"51","  So that employers can decide, because they are no longer so likely to employ men, but perhaps Because they won't be certain of who is to take the maternity leave. It's apparent about the women, but not the maternity leave.","Gender",41,228
"52"," My children are in private preschool and school, and its definitely better. The teachers have fun with the students. In one of the situations, the teachers speak English with the students, and the teachers come from London.","Generations",38,228
"53","  The other day I actually asked the director of the elderly home why is it that he hired young and handsome waiters, who were serving the elderly and he answered, hang on, the majority of our residents are women, are female.","Generations",42,228
"54","  they don't manage it in a profitable way. If a land owner, who keeps an eye on his land so that it brings profit and does not let it decay, so that the business grows. Management of the funds we contribute into seems to me","Generations",46,228
"55","  Their pension plus subsidy, which isnt limited. If the nursing home costs EUR 1,300 the subsidy would be, if they only have a EUR 400 pension, the subsidy would be EUR 800. Not like it is now, a subsidy limited to EUR 400.","Generations",44,228
"56","  working for it or voluntary, do something voluntary. The last choice is in the services.","Labour market",40,228
"57","I don't agree that inequality is a problem. It's only a problem if the poor get poorer. The richer can get richer, that's not a problem. I'm very surprised at the figures we've seen. For example that the decile limit is only 379.","Econ. Inequality",43,229
"58"," I just think in 2040 what are the chances of the NHS being staying anyway, it should be privatised anyway, so you are going to have to pay for your health - well like if you are ill it's going to be private probably won't it.","Immigration",47,229
"59"," Theyd be able to coordinate this. The school classes after a half year of these welcoming classes, do they have to be three-tiered or four-tiered? Or five-tiered depending on how many come? All of that is completely unclear.","Immigration",39,229
"60"," By 2040, well have a completely different identity. Many people are out on the streets yammering about culture and how we have to preserve this, but what is there to preserve? The Musikantenstadl or the pork hock for dinner?","Immigration",40,229
"61","You need to be a resource, not just be seen as a resource, before you're entitled to welfare services. I'm not in favour of Polish workers being entitled to child benefit from day 1. No, because their children are back in Poland.","Immigration",42,229
"62","  Women are also less concerned about not seeing their child too often, to see her baby only for half an hour, an hour and then and an hour in the evening, or something along these lines. Because she is able to come in during","Gender",45,229
"63","  Yes, it's available. But if they demand that you stay at work late enough to finish this and that, you need to leave the child, you won't leave work just because of, you will find another person to pick up the child for you.","Gender",45,229
"64","  Let's forget about the homes for the elderly here, not every one is in one. Yes, even people at 85 are not necessarily in homes. The minority might be, but some are still very active, and could still do a lot of things, but","Generations",45,229
"65"," I thought about those with petty problems. The hindrance to enter working life isnt really that big. But today it is very simple. Society wants them on benefit because that is easier than to deal with it. Easier to just pay.","Labour market",42,229
"66","  educational class for people who went to studies.  What about people who are not going to university?  These people are just going to stay at home, do nothing and theyre just going to be low income earners.","Econ. Inequality",40,230
"67"," You learn more words when you go to nursery school, I mean you learn If you are home you learn perhaps 2000, but in nursery school you learn four to five thousand words. Then you have a better foundation when you start school.","Econ. Inequality",44,230
"68"," Can I just say about ID cards, another thing about ID cards is that obviously theyll be holding a lot of information and as we all know fraud as it is, who would monitor it and also it's very complicated to set up an ID card.","Immigration",47,230
"69"," You know, sod the people who say I don't want my photo on these, it's, you know, big brother is watching us.  Every other country that I've ever been to they have ID cards  why are we so different that we shouldn't have them?","Immigration",46,230
"70"," I was really shocked. Were partly from Turkey, and then when I hear these kinds of comments, like that they should go back where they came from and so forth. If my own kids are thinking things like this It really shocked me.","Immigration",44,230
"71"," There could be a rule for that, so that you get a part of that for the person youre caring for, but not that it could replace your job. If I look after my mother until she dies, and then maybe I dont want to work after that.","Gender",49,230
"72","  Also, when people start a new job, they would not be looking for a female or a male profile only, but it would be acceptable, and the employer would not have made his or her mind made up in advance about which gender to hire.","Gender",46,230
"73","  On one side, sick leave is being taken advantage of, on the other, theyre sending half-ill children to the kindergarten. The mother should have the option to take sick leave for 14 days until the child is completely healthy.","Gender",40,230
"74"," The age, before, it was 55, and now it's 65, so I think we should have a policy in place, and perhaps, keep it to 65, perhaps, and not increase it.  Simply because it's like, you're working all your life, and you deserve that.","Generations",45,230
"75","  Can I just add something to this, about what the madam suggested, it would be useful to learn how much, how much this extra day would bring into the budget, I mean, the January second, which is no longer a holiday, and so on?","Generations",45,230
"76","  And not that you have trips and such organized, cooking, that you can cook better, that you see what else can be made, not just this Slovenian food, beef broth and meat and I dont know what else, something in that direction.","Generations",43,230
"77","  Intergenerational connections, you know, if the elderly person stays, they transfer everything to the younger ones. And then the younger person sees that theyll be old at some point. And then you have two, three generations.","Generations",37,230
"78"," Yes, right, but most people who work t the grocery shop counter have collective wage negotiations, they dont have their own wage negotiation. You get the wage that is set, thats what you get. There isnt much influence there.","Econ. Inequality",40,231
"79"," And provide more focused support for teachers, because its not necessarily an easy profession, so one needs to address them. Some schools have had to close because of teacher strikes, because of how the teachers are supported.","Econ. Inequality",38,231
"80"," Difficult to specify it, but important to get people into work. Reach integration through that. I think it is difficult to know how to do it. It is a problem that immigrants dont get jobs. It is about investing in integration.","Immigration",42,231
"81"," But how are you supposed to teach little children that you cant see them as a threat, when some of them are threatening. You cant teach them that half are good and the other half want to do you harm. They cant differentiate.","Immigration",44,231
"82","  But with the condition that she comes back and works here. However, the state does not commit itself to find her a job, but she needs to find one by herself. If she does not manage to find it, she will have to repay the money.","Immigration",47,231
"83"," When they apply for a job, they couldI dont knowdo you know how in an interview they could do it so its likeI dont know how they would but that the person doesnt see what gender they are. I know thats a bit strange but","Gender",46,231
"84","  Today it's a long way from publishing a job advertisement to actually hiring a person, if a person is being employed. Advertisement needs to be published, then get, it takes a long time, it's not so simple with a new employee.","Labour market",42,231
"85"," Yes, sort of. The state can say This is the limit Not that they shouldnt get paid, it is a lot of responsibility and work, but it should maybe be a limit. The profit could go to those who are a little under? That is more fair.","Econ. Inequality",48,232
"86"," What is the difference between the eastside schools and the westside schools? It is on the westside most Norwegians live. And there its just..30:28? Then they start school at different levels, some speak Norwegian, others dont.","Econ. Inequality",37,232
"87"," Education sounds very nice in a setting like that, but do we really believe that more education will lead to reduced wage inequalities? Dont we believe that somebody had to do the jobs where higher education isnt valuated too?","Econ. Inequality",40,232
"88","  Another thing, perhaps a person, who is now a recipient of transfers and does not wish to work, would get the idea, hang on, if the minimum wage is a little higher than what I get with the transfers, I should perhaps get a job.","Econ. Inequality",46,232
"89"," It is in place but the government is not actually following those rules because whoever is coming to the UK as an international has three months to get work.  If youre inactive within three months you should leave the country.","Immigration",41,232
"90","  My friend too, when she was hired, she was asked if she is planning a family, or already has one, if she has any children. She was already asked about everything. When are you planning, are you planning it in the next 10 years.","Gender",45,232
"91","I don't see how this kids thing could work for me, neither personally nor financially. Most people I know use this argument for not having children: 'I'm still in education, I don't have the economy or the career yet to be able to'.","Generations",43,232
"92","  Also raising awareness regarding high-quality old age in the sense of taking care of your health and taking care of your mental stability. Something like that. That theres quality of life, not only depending on finance, but...","Generations",38,232
"93"," The reference to appropriate pay means that the inequality is addressed to some extent. Last time we talked about the baker and how they should get a better wage, maybe not as high as a doctor, but is that what is meant by this?","Labour market",45,232
"94","  Towards the state and towards the company. And then also that. You get more ideas if youre loyal, you can present the new ideas to your boss, contribute to improvement. Here, I also see the possibility for certain advancement.","Labour market",40,232
"95"," I personally think in 2040 unfortunately theres going to be no NHS so I think if youve been here a month, two months if you need to go and see a consultant I think you should be paying anyway and that goes for anybody, really.","Immigration",46,233
"96"," To have a plan concept like we do when there is a natural catastrophe, how to evacuate people, for instance with earthquakes, theres a plan B. What happens if all of a sudden theres suddenly 100,000 people standing at the door?","Immigration",42,233
"97","  That's right, I mean, it's only an upgrade. But then things can take a funny turn, such as quotas in politics, where they look for 5 women politicians to fulfil the quotas. The other aspect, where there tends to be exaggeration.","Gender",42,233
"98","  Another concern. I dont know how this is defined at all here.   76:  Public/private, whatever. We said night kindergartens. But isnt it like that, that if you have a child, the employer cant put you on the night shift at all?","Gender",42,233
"99"," I want to make a comment, and that is that I very much disagree with my female neighbour regarding agriculture. She awakens the Centre Party member (Political party supporting farmers and agriculture) and farmers daughter in me.","Labour market",38,233
"100"," But those who have money to spare, they do take care of this though. But for most people, theres no possibility to put anything away for retirement, because they have a hard enough time paying bills from month to month as it is.","Labour market",44,233
"101","The biggest problem is wage increases, right? If wages increase by 2% for both high and the low-earners then that makes a big difference and this is why inequality increases. So I don't know, perhaps we should regulate wage increases.","Econ. Inequality",40,234
"102","There must be a limit. We can't say to people that there is a chance they might get sent home at any point, even if they have put down roots and bought a house. That must only apply for a certain number of years. 6 years, I would say.","Immigration",49,234
"103"," Well, Im looking to see if I can include it here somewhere. It could go under equal treatment, yes. There. Universal acceptance and validity of the equal treatment of men and women in general. It falls under that category for me.","Gender",42,234
"104"," My wife can work from home. They came to our home to check whether we had everything set up according to regulations with windows, ergonomic chair, just like in the office, and then she is allowed to work for three days from home.","Gender",44,234
"105","Considering that this society that has the largest number of well-educated women I think women need to able to stand up for themselves too and obtain working conditions, both at home and in the labour market, which give them equality.","Gender",40,234
"106","  By yourself, you could have done many things with the money, throughout your life. And why should the person who goes in retirement, or has been retired for one year, 5 years, 10 years, some do not even make it to the retirement","Generations",44,234
"107"," It also has to do with mobility. NAV approves of peoples places of residence even though they know there arent any jobs there. It should be stricter, like Okay, so there arent any jobs on the west coast. You have to move then","Labour market",44,234
"108","  No, this should be done during schooling, for example as a summer job or, I don't know, compulsory work experience, as we have been mentioning before. If the company can immediately see if the person is right for this job or not.","Labour market",43,234
"109"," There is one point I want to make about this, the tourists coming to this country and getting free NHS, they shouldn't be made to pay in the future for treatment and that, in the hospital and that.  They are coming for a holiday...","Immigration",45,235
"110"," absolutely so if they contribute welcome them in.  I mean to us weve always had that policy in England where weve let x amount of people in to do x.  As long as theyre working and contributing to the society theyre living in.","Immigration",44,235
"111"," In terms of the infrastructure why not put for example one or two per cent more tax on new coming immigrants.  So if you come in you pay not 20 but 21 per cent of tax and this one per cent is going towards building infrastructure.","Immigration",47,235
"112","  Id strictly determine the countries from which well be taking the immigrants, not just any, not from Afghanistan or thereabouts. Id take more civilised nations, because this culture needs to be on the level of European culture.","Immigration",38,235
"113"," I believe the thing about pension is still lingering. To actually accept in organisations that the father takes six months of parental leave and gets accept for doing it. I believe that is important to increase the number of women.","Gender",41,235
"114","It exists, that's for sure. But couldn't you, moderator, also include the issue of men and women being equal in the eyes of the law with regard to custody of children. Can't you sort of summarise that into one point in some clever way?","Gender",44,235
"115"," Someone is saying credit cards and everything, its caused the downfall of Greece, actually, when they introduced them. Thats why theyre in the mess theyre in, is what the people are saying on the news when theyre interviewed.","Generations",39,235
"116"," I think the private ones have stronger ideologies that meet some people more, but I dont know if it has anything to say for the children, really. Not as much as they like to advertise it to the parents. Thats what I believe though.","Econ. Inequality",45,236
"117"," Because it wouldnt change this gap at all. If everyone had an extra 1,000 euros, it wouldnt change the wealth gap. Its just a calculation trick. Everyone gets the 1,000 euros, including the millionaires, and then nothing changes.","Econ. Inequality",39,236
"118","  That's the case in America, the American system. People there work, they spend all their time working and don't have any time left to think, once you do nothing but work, the money is accumulating and there is not time to spend it.","Econ. Inequality",44,236
"119","  Consequently, the parental leave would also be higher, not like now, like I found out that all of a sudden, 100 % fell to 90 % of parental leave. I dont know, for a couple of months, you get the 100 %, one, two, three, but then...","Econ. Inequality",48,236
"120"," In selective grammar schools you do, because it's based on their academic ability, so they could come from really deprived backgrounds, but a very bright child can still get in there, so you're getting all different social classes.","Gender",39,236
"121","  Or, if I may give an example, car mechanics, they are predominantly men. And if a man and a woman may run for the job of a car mechanic, and the woman may happen to be much better at it, but it's still the man who will get the job.","Gender",51,236
